"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.164","142.104.5.64","TCP","62","1200  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM"
"2","0.002812","142.104.5.64","192.168.1.164","TCP","60","80  >  1200 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460"
"3","0.002835","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"4","0.002916","192.168.1.164","142.104.5.64","HTTP","473","GET /index.html HTTP/1.1 "
"5","0.015346","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=1 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"6","0.016755","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=1461 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"7","0.016776","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=420 Ack=2921 Win=17520 Len=0"
"8","0.018250","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=2921 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"9","0.025730","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=4381 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"10","0.025753","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=420 Ack=5841 Win=17520 Len=0"
"11","0.027093","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=5841 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"12","0.030109","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=7301 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"13","0.030129","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=420 Ack=8761 Win=17520 Len=0"
"14","0.034411","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=8761 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.034432","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=420 Ack=10221 Win=16060 Len=0"
"16","0.035788","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=10221 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"17","0.037570","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=11681 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.037583","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=420 Ack=13141 Win=13140 Len=0"
"19","0.039063","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=13141 Ack=420 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.040795","142.104.5.64","192.168.1.164","HTTP","1426","HTTP/1.1 200 OK  (text/html)"
"21","0.040811","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=420 Ack=15973 Win=10308 Len=0"
"22","0.291372","192.168.1.164","142.104.5.64","TCP","54","[TCP Window Update] 1200  >  80 [ACK] Seq=420 Ack=15973 Win=17520 Len=0"
"23","2.607847","192.168.1.164","142.104.5.64","HTTP","491","GET /about/welcome.html HTTP/1.1 "
"24","2.632146","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=15973 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"25","2.633580","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=17433 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"26","2.633599","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=857 Ack=18893 Win=17520 Len=0"
"27","2.635054","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=18893 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"28","2.636436","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=20353 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"29","2.636450","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=857 Ack=21813 Win=17520 Len=0"
"30","2.638154","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=21813 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"31","2.639974","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=23273 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"32","2.639988","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=857 Ack=24733 Win=17520 Len=0"
"33","2.641453","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=24733 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"34","2.641471","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=857 Ack=26193 Win=16060 Len=0"
